,CPU_count,CPU_vendor_id,CPU_GHz,core_architecture,memory_available_B,swap_free_B,os,model_name,nb_samples,nb_preds
30,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lars,20,20
31,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lars,500,20
32,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lars,500,500
33,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lars,2000,20
34,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lars,2000,500
35,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lars,2000,2000
36,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LarsCV,20,20
37,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LarsCV,500,20
38,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LarsCV,500,500
39,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LarsCV,2000,20
40,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LarsCV,2000,500
41,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LarsCV,2000,2000
42,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lasso,20,20
43,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lasso,500,20
44,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lasso,500,500
45,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lasso,2000,20
46,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lasso,2000,500
47,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Lasso,2000,2000
48,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoCV,20,20
49,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoCV,500,20
50,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoCV,500,500
51,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoCV,2000,20
52,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoCV,2000,500
53,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoCV,2000,2000
54,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLars,20,20
55,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLars,500,20
56,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLars,500,500
57,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLars,2000,20
58,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLars,2000,500
59,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLars,2000,2000
60,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLarsCV,20,20
61,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLarsCV,500,20
62,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLarsCV,500,500
63,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLarsCV,2000,20
64,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLarsCV,2000,500
65,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LassoLarsCV,2000,2000
66,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LinearRegression,20,20
67,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LinearRegression,500,20
68,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LinearRegression,500,500
69,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LinearRegression,2000,20
70,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LinearRegression,2000,500
71,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LinearRegression,2000,2000
72,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegression,20,20
73,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegression,500,20
74,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegression,500,500
75,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegression,2000,20
76,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegression,2000,500
77,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegression,2000,2000
78,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegressionCV,20,20
79,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegressionCV,500,20
80,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegressionCV,500,500
81,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegressionCV,2000,20
82,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegressionCV,2000,500
83,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,LogisticRegressionCV,2000,2000
84,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuit,20,20
85,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuit,500,20
86,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuit,500,500
87,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuit,2000,20
88,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuit,2000,500
89,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuit,2000,2000
90,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuitCV,20,20
91,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuitCV,500,20
92,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuitCV,500,500
93,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuitCV,2000,20
94,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuitCV,2000,500
95,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,OrthogonalMatchingPursuitCV,2000,2000
96,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveClassifier,20,20
97,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveClassifier,500,20
98,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveClassifier,500,500
99,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveClassifier,2000,20
100,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveClassifier,2000,500
101,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveClassifier,2000,2000
102,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveRegressor,20,20
103,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveRegressor,500,20
104,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveRegressor,500,500
105,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveRegressor,2000,20
106,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveRegressor,2000,500
107,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,PassiveAggressiveRegressor,2000,2000
108,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Perceptron,20,20
109,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Perceptron,500,20
110,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Perceptron,500,500
111,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Perceptron,2000,20
112,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Perceptron,2000,500
113,12,GenuineIntel,2.6,x86_64,6910541824,1063518208,Darwin,Perceptron,2000,2000
